Date,Platform,Sentiment,Location,Engagements,Media_Type,Influencer_Brand,Post_Type
2024-04-28,X/Twitter,Positive,Jakarta,6149,Image,@kulinerhits | NubiCha,Promo
2024-04-18,Instagram,Positive,Jakarta,12316,Text,@snackattack | NubiCha,Promo
2024-04-14,TikTok,Neutral,Denpasar,14041,Carousel,@tastebuds.id | NubiCha,Promo
2024-04-19,Instagram,Neutral,Surabaya,8937,Image,@genzfoodie | NubiCha,Behind the Scenes
2024-04-17,YouTube,Positive,Makassar,5254,Carousel,@tastebuds.id | NubiCha,Behind the Scenes
2024-04-20,X/Twitter,Neutral,Yogyakarta,8095,Video,@genzfoodie | NubiCha,Product Launch
2024-04-18,X/Twitter,Positive,Yogyakarta,8700,Video,@kulinerhits | NubiCha,Product Launch
2024-04-30,X/Twitter,Positive,Makassar,15334,Video,@tastebuds.id | NubiCha,Review
2024-04-16,Instagram,Neutral,Jakarta,2785,Video,@snackattack | NubiCha,Review
2024-04-25,X/Twitter,Positive,Bandung,5126,Video,@kulinerhits | NubiCha,Product Launch
2024-04-23,YouTube,Positive,Yogyakarta,3344,Image,@genzfoodie | NubiCha,Review
2024-04-10,YouTube,Negative,Medan,9964,Carousel,@kulinerhits | NubiCha,Review
2024-04-20,Instagram,Negative,Makassar,2915,Image,@drinkculture | NubiCha,Product Launch
2024-04-27,Instagram,Neutral,Medan,6065,Image,@genzfoodie | NubiCha,Collab
2024-04-18,YouTube,Neutral,Yogyakarta,14162,Video,@tastebuds.id | NubiCha,Promo
2024-04-30,YouTube,Negative,Yogyakarta,3576,Text,@tastebuds.id | NubiCha,Behind the Scenes
2024-04-08,X/Twitter,Positive,Jakarta,16170,Image,@genzfoodie | NubiCha,Behind the Scenes
2024-04-13,Instagram,Positive,Bandung,9128,Video,@tastebuds.id | NubiCha,Collab
2024-04-30,YouTube,Positive,Medan,2616,Carousel,@drinkculture | NubiCha,Product Launch
2024-04-25,TikTok,Neutral,Denpasar,2963,Text,@genzfoodie | NubiCha,Collab
2024-04-21,X/Twitter,Positive,Medan,16180,Text,@snackattack | NubiCha,Product Launch
2024-04-16,YouTube,Negative,Jakarta,14180,Carousel,@kulinerhits | NubiCha,Product Launch
2024-04-15,X/Twitter,Positive,Medan,175,Image,@tastebuds.id | NubiCha,Collab
2024-04-26,Instagram,Neutral,Surabaya,8430,Carousel,@tastebuds.id | NubiCha,Product Launch
2024-04-23,Instagram,Positive,Makassar,10845,Video,@genzfoodie | NubiCha,Behind the Scenes
2024-04-27,TikTok,Positive,Makassar,1414,Carousel,@tastebuds.id | NubiCha,Review
2024-04-27,YouTube,Positive,Denpasar,8649,Video,@kulinerhits | NubiCha,Product Launch
2024-04-07,X/Twitter,Positive,Jakarta,2745,Text,@kulinerhits | NubiCha,Product Launch
2024-04-30,TikTok,Positive,Medan,2382,Image,@kulinerhits | NubiCha,Product Launch
2024-04-25,X/Twitter,Neutral,Medan,10427,Carousel,@snackattack | NubiCha,Collab
2024-04-15,Instagram,Positive,Denpasar,15738,Carousel,@drinkculture | NubiCha,Review
2024-04-01,Instagram,Positive,Jakarta,3829,Image,@genzfoodie | NubiCha,Review
2024-04-11,X/Twitter,Positive,Yogyakarta,12009,Image,@drinkculture | NubiCha,Collab
2024-04-23,TikTok,Positive,Medan,16178,Carousel,@snackattack | NubiCha,Collab
2024-04-28,X/Twitter,Neutral,Makassar,13383,Video,@kulinerhits | NubiCha,Review
2024-04-21,YouTube,Positive,Bandung,5126,Image,@drinkculture | NubiCha,Behind the Scenes
2024-04-01,YouTube,Neutral,Bandung,6618,Image,@tastebuds.id | NubiCha,Behind the Scenes
2024-04-12,Instagram,Positive,Medan,9789,Image,@drinkculture | NubiCha,Collab
2024-04-09,YouTube,Positive,Yogyakarta,4748,Text,@genzfoodie | NubiCha,Product Launch
2024-04-21,YouTube,Positive,Makassar,3651,Video,@drinkculture | NubiCha,Behind the Scenes
2024-04-01,YouTube,Negative,Denpasar,18283,Text,@kulinerhits | NubiCha,Product Launch
2024-04-25,YouTube,Positive,Surabaya,4095,Image,@snackattack | NubiCha,Promo
2024-04-17,YouTube,Positive,Jakarta,5090,Carousel,@drinkculture | NubiCha,Product Launch
2024-04-06,X/Twitter,Positive,Medan,7618,Text,@genzfoodie | NubiCha,Collab
2024-04-21,TikTok,Positive,Bandung,15501,Carousel,@snackattack | NubiCha,Collab
2024-04-11,X/Twitter,Positive,Makassar,4284,Video,@snackattack | NubiCha,Collab
2024-04-27,X/Twitter,Neutral,Bandung,19696,Carousel,@kulinerhits | NubiCha,Promo
2024-04-18,TikTok,Positive,Jakarta,13882,Video,@kulinerhits | NubiCha,Product Launch
2024-04-14,YouTube,Positive,Makassar,19890,Video,@kulinerhits | NubiCha,Promo
2024-04-25,X/Twitter,Positive,Surabaya,16976,Text,@kulinerhits | NubiCha,Collab
2024-04-04,TikTok,Positive,Medan,5996,Video,@kulinerhits | NubiCha,Review
2024-04-18,Instagram,Negative,Yogyakarta,11240,Image,@drinkculture | NubiCha,Promo
2024-04-03,YouTube,Positive,Yogyakarta,19204,Text,@snackattack | NubiCha,Product Launch
2024-04-01,YouTube,Positive,Bandung,6157,Image,@drinkculture | NubiCha,Behind the Scenes
2024-04-09,YouTube,Positive,Medan,15500,Carousel,@tastebuds.id | NubiCha,Review
2024-04-06,TikTok,Neutral,Bandung,1761,Image,@drinkculture | NubiCha,Collab
2024-04-27,TikTok,Negative,Bandung,5572,Carousel,@snackattack | NubiCha,Review
2024-04-24,X/Twitter,Negative,Makassar,11603,Video,@snackattack | NubiCha,Review
2024-04-09,X/Twitter,Positive,Denpasar,15799,Text,@tastebuds.id | NubiCha,Product Launch
2024-04-21,X/Twitter,Positive,Denpasar,17650,Carousel,@genzfoodie | NubiCha,Product Launch
2024-04-15,TikTok,Positive,Medan,12834,Text,@kulinerhits | NubiCha,Behind the Scenes
2024-04-05,TikTok,Positive,Surabaya,8592,Image,@drinkculture | NubiCha,Collab
2024-04-12,TikTok,Positive,Medan,11025,Video,@snackattack | NubiCha,Behind the Scenes
2024-04-11,TikTok,Positive,Bandung,3236,Text,@kulinerhits | NubiCha,Behind the Scenes
2024-04-26,YouTube,Positive,Jakarta,8459,Video,@kulinerhits | NubiCha,Collab
2024-04-20,X/Twitter,Positive,Jakarta,2899,Text,@tastebuds.id | NubiCha,Collab
2024-04-05,TikTok,Neutral,Surabaya,17887,Carousel,@snackattack | NubiCha,Behind the Scenes
2024-04-12,TikTok,Positive,Surabaya,16100,Image,@genzfoodie | NubiCha,Review
2024-05-01,X/Twitter,Neutral,Denpasar,14571,Image,@drinkculture | NubiCha,Product Launch
2024-04-24,Instagram,Neutral,Denpasar,12594,Text,@genzfoodie | NubiCha,Behind the Scenes
2024-04-07,TikTok,Positive,Jakarta,3900,Video,@genzfoodie | NubiCha,Collab
2024-04-19,Instagram,Positive,Makassar,12111,Video,@genzfoodie | NubiCha,Product Launch
2024-04-25,YouTube,Positive,Makassar,13511,Carousel,@snackattack | NubiCha,Behind the Scenes
2024-04-10,X/Twitter,Positive,Bandung,3471,Image,@snackattack | NubiCha,Collab
2024-04-14,TikTok,Neutral,Bandung,14044,Image,@kulinerhits | NubiCha,Promo
2024-04-26,YouTube,Positive,Denpasar,7546,Carousel,@snackattack | NubiCha,Collab
2024-04-23,TikTok,Positive,Medan,382,Image,@tastebuds.id | NubiCha,Collab
2024-04-24,Instagram,Positive,Yogyakarta,9981,Carousel,@tastebuds.id | NubiCha,Review
2024-04-12,X/Twitter,Neutral,Makassar,6895,Video,@drinkculture | NubiCha,Collab
2024-04-27,YouTube,Neutral,Bandung,1430,Image,@genzfoodie | NubiCha,Product Launch
2024-04-11,Instagram,Positive,Medan,7677,Image,@drinkculture | NubiCha,Review
2024-04-17,TikTok,Positive,Makassar,17606,Image,@tastebuds.id | NubiCha,Promo
2024-04-13,Instagram,Neutral,Medan,19100,Video,@kulinerhits | NubiCha,Behind the Scenes
2024-04-28,X/Twitter,Positive,Jakarta,4163,Text,@tastebuds.id | NubiCha,Promo
2024-04-22,Instagram,Neutral,Medan,17230,Carousel,@kulinerhits | NubiCha,Product Launch
2024-04-09,Instagram,Positive,Bandung,7532,Image,@snackattack | NubiCha,Review
2024-04-02,TikTok,Positive,Denpasar,8773,Image,@snackattack | NubiCha,Promo
2024-04-04,Instagram,Neutral,Denpasar,9255,Text,@tastebuds.id | NubiCha,Behind the Scenes
2024-04-16,Instagram,Neutral,Bandung,14793,Video,@kulinerhits | NubiCha,Behind the Scenes
2024-04-13,Instagram,Positive,Makassar,12008,Video,@snackattack | NubiCha,Collab
2024-04-01,X/Twitter,Neutral,Yogyakarta,1690,Text,@genzfoodie | NubiCha,Product Launch
2024-04-11,YouTube,Neutral,Denpasar,14050,Carousel,@snackattack | NubiCha,Behind the Scenes
2024-04-04,YouTube,Neutral,Makassar,5610,Carousel,@snackattack | NubiCha,Promo
2024-04-18,Instagram,Negative,Denpasar,14024,Carousel,@tastebuds.id | NubiCha,Collab
2024-04-14,TikTok,Positive,Medan,19620,Text,@kulinerhits | NubiCha,Behind the Scenes
2024-04-17,X/Twitter,Positive,Surabaya,13991,Carousel,@drinkculture | NubiCha,Promo
2024-05-01,X/Twitter,Positive,Makassar,13108,Carousel,@drinkculture | NubiCha,Review
2024-04-11,YouTube,Neutral,Bandung,4009,Video,@genzfoodie | NubiCha,Behind the Scenes
2024-04-28,Instagram,Positive,Surabaya,17457,Image,@drinkculture | NubiCha,Promo
2024-04-09,X/Twitter,Neutral,Bandung,15257,Text,@snackattack | NubiCha,Product Launch
2024-04-08,TikTok,Positive,Jakarta,16169,Carousel,@drinkculture | NubiCha,Promo
2024-04-02,TikTok,Neutral,Bandung,1429,Image,@drinkculture | NubiCha,Promo
2024-04-18,X/Twitter,Positive,Makassar,5335,Image,@drinkculture | NubiCha,Behind the Scenes
2024-04-25,Instagram,Positive,Yogyakarta,4370,Carousel,@kulinerhits | NubiCha,Promo
2024-04-25,Instagram,Neutral,Yogyakarta,17369,Image,@drinkculture | NubiCha,Product Launch
2024-04-25,X/Twitter,Neutral,Jakarta,18819,Image,@snackattack | NubiCha,Promo
2024-04-02,Instagram,Neutral,Jakarta,11407,Carousel,@kulinerhits | NubiCha,Promo
2024-04-25,X/Twitter,Neutral,Surabaya,10066,Text,@genzfoodie | NubiCha,Behind the Scenes
2024-04-10,YouTube,Positive,Makassar,1587,Text,@tastebuds.id | NubiCha,Collab
2024-04-21,YouTube,Positive,Jakarta,16524,Text,@tastebuds.id | NubiCha,Behind the Scenes
2024-04-12,Instagram,Negative,Jakarta,8329,Carousel,@drinkculture | NubiCha,Promo
2024-04-25,X/Twitter,Neutral,Surabaya,12322,Image,@snackattack | NubiCha,Collab
2024-04-04,TikTok,Negative,Medan,19223,Video,@genzfoodie | NubiCha,Review
2024-04-12,TikTok,Positive,Surabaya,3986,Text,@tastebuds.id | NubiCha,Promo
2024-04-11,X/Twitter,Positive,Jakarta,15294,Image,@snackattack | NubiCha,Collab
2024-04-30,TikTok,Neutral,Makassar,16831,Text,@genzfoodie | NubiCha,Collab
2024-04-26,YouTube,Neutral,Bandung,19573,Video,@genzfoodie | NubiCha,Review
2024-04-23,YouTube,Positive,Denpasar,14205,Text,@snackattack | NubiCha,Collab
2024-04-09,Instagram,Positive,Denpasar,3674,Video,@kulinerhits | NubiCha,Behind the Scenes
2024-04-15,X/Twitter,Positive,Bandung,2443,Video,@tastebuds.id | NubiCha,Promo
2024-04-30,TikTok,Positive,Bandung,8396,Image,@snackattack | NubiCha,Review
2024-04-26,X/Twitter,Neutral,Yogyakarta,4056,Text,@snackattack | NubiCha,Collab
2024-04-20,TikTok,Neutral,Bandung,14468,Video,@tastebuds.id | NubiCha,Behind the Scenes
2024-04-21,Instagram,Positive,Yogyakarta,12017,Text,@tastebuds.id | NubiCha,Promo
2024-04-07,Instagram,Positive,Surabaya,7692,Carousel,@genzfoodie | NubiCha,Collab
2024-04-20,Instagram,Positive,Surabaya,17973,Carousel,@genzfoodie | NubiCha,Collab
2024-04-06,TikTok,Positive,Yogyakarta,14381,Video,@genzfoodie | NubiCha,Behind the Scenes
2024-04-29,X/Twitter,Positive,Jakarta,9825,Carousel,@snackattack | NubiCha,Review
2024-04-02,TikTok,Positive,Bandung,14429,Text,@snackattack | NubiCha,Review
2024-04-29,Instagram,Neutral,Denpasar,19794,Carousel,@tastebuds.id | NubiCha,Review
2024-04-21,X/Twitter,Positive,Bandung,10141,Carousel,@tastebuds.id | NubiCha,Product Launch
2024-04-05,Instagram,Positive,Medan,3949,Video,@kulinerhits | NubiCha,Product Launch
2024-04-22,TikTok,Neutral,Surabaya,5601,Carousel,@snackattack | NubiCha,Promo
2024-04-11,YouTube,Positive,Bandung,14967,Carousel,@tastebuds.id | NubiCha,Product Launch
2024-04-04,TikTok,Neutral,Makassar,16024,Image,@snackattack | NubiCha,Collab
2024-04-13,X/Twitter,Neutral,Denpasar,2247,Video,@snackattack | NubiCha,Collab
2024-04-11,X/Twitter,Positive,Medan,14936,Video,@drinkculture | NubiCha,Promo
2024-04-30,TikTok,Positive,Jakarta,17225,Image,@genzfoodie | NubiCha,Promo
2024-04-01,YouTube,Positive,Denpasar,15418,Carousel,@genzfoodie | NubiCha,Review
2024-04-25,YouTube,Neutral,Medan,5219,Text,@tastebuds.id | NubiCha,Review
2024-04-21,TikTok,Neutral,Yogyakarta,477,Text,@genzfoodie | NubiCha,Collab
2024-04-13,X/Twitter,Positive,Jakarta,9604,Carousel,@snackattack | NubiCha,Review
2024-04-20,X/Twitter,Neutral,Surabaya,15752,Text,@snackattack | NubiCha,Product Launch
2024-04-29,TikTok,Positive,Surabaya,17639,Video,@genzfoodie | NubiCha,Behind the Scenes
2024-04-18,Instagram,Positive,Medan,7300,Video,@kulinerhits | NubiCha,Review
2024-04-07,YouTube,Neutral,Medan,13982,Text,@drinkculture | NubiCha,Behind the Scenes
2024-04-13,X/Twitter,Neutral,Yogyakarta,6736,Text,@snackattack | NubiCha,Promo
2024-04-11,TikTok,Positive,Medan,1633,Image,@genzfoodie | NubiCha,Product Launch
2024-04-26,YouTube,Neutral,Makassar,8729,Text,@genzfoodie | NubiCha,Collab
2024-04-02,TikTok,Positive,Surabaya,18313,Video,@drinkculture | NubiCha,Behind the Scenes
2024-04-20,Instagram,Positive,Medan,7682,Video,@genzfoodie | NubiCha,Promo
2024-04-17,Instagram,Positive,Surabaya,9969,Image,@tastebuds.id | NubiCha,Behind the Scenes
2024-04-23,Instagram,Neutral,Surabaya,10746,Image,@genzfoodie | NubiCha,Product Launch
2024-04-14,YouTube,Positive,Surabaya,13129,Video,@drinkculture | NubiCha,Collab
2024-04-08,X/Twitter,Positive,Jakarta,8986,Video,@genzfoodie | NubiCha,Product Launch
2024-04-01,TikTok,Neutral,Surabaya,17024,Carousel,@tastebuds.id | NubiCha,Review
2024-04-17,YouTube,Neutral,Denpasar,17144,Carousel,@genzfoodie | NubiCha,Behind the Scenes
2024-04-04,YouTube,Positive,Surabaya,16228,Image,@snackattack | NubiCha,Product Launch
2024-04-21,X/Twitter,Negative,Surabaya,5537,Text,@drinkculture | NubiCha,Collab
2024-04-12,X/Twitter,Positive,Jakarta,7011,Text,@kulinerhits | NubiCha,Promo
2024-04-02,TikTok,Neutral,Medan,11962,Image,@snackattack | NubiCha,Collab
2024-04-05,YouTube,Negative,Jakarta,1954,Text,@tastebuds.id | NubiCha,Promo
2024-04-23,Instagram,Positive,Surabaya,10557,Image,@kulinerhits | NubiCha,Behind the Scenes
2024-04-25,X/Twitter,Positive,Surabaya,7373,Text,@snackattack | NubiCha,Promo
2024-04-02,TikTok,Positive,Bandung,12680,Carousel,@kulinerhits | NubiCha,Product Launch
2024-04-01,X/Twitter,Positive,Yogyakarta,13931,Text,@kulinerhits | NubiCha,Promo
2024-04-15,X/Twitter,Positive,Makassar,3974,Image,@genzfoodie | NubiCha,Review
2024-04-06,TikTok,Positive,Medan,12527,Text,@snackattack | NubiCha,Collab
2024-04-10,YouTube,Neutral,Makassar,15857,Carousel,@drinkculture | NubiCha,Behind the Scenes
2024-04-17,TikTok,Neutral,Jakarta,7274,Carousel,@drinkculture | NubiCha,Behind the Scenes
2024-04-11,TikTok,Neutral,Jakarta,13797,Text,@genzfoodie | NubiCha,Collab
2024-04-29,TikTok,Neutral,Bandung,12182,Text,@kulinerhits | NubiCha,Review
2024-04-05,Instagram,Positive,Surabaya,13466,Text,@tastebuds.id | NubiCha,Behind the Scenes
2024-04-24,X/Twitter,Positive,Bandung,10374,Carousel,@snackattack | NubiCha,Review
2024-04-29,YouTube,Positive,Makassar,12525,Video,@snackattack | NubiCha,Product Launch
2024-05-01,TikTok,Neutral,Jakarta,18052,Video,@drinkculture | NubiCha,Collab
2024-04-18,TikTok,Positive,Denpasar,16095,Video,@kulinerhits | NubiCha,Promo
2024-04-24,X/Twitter,Positive,Makassar,12677,Carousel,@drinkculture | NubiCha,Behind the Scenes
2024-04-22,X/Twitter,Neutral,Makassar,10222,Image,@kulinerhits | NubiCha,Promo
2024-04-08,YouTube,Neutral,Medan,14487,Carousel,@genzfoodie | NubiCha,Product Launch
2024-04-17,YouTube,Neutral,Denpasar,9823,Carousel,@drinkculture | NubiCha,Product Launch
2024-04-14,TikTok,Positive,Jakarta,5111,Image,@tastebuds.id | NubiCha,Product Launch
2024-04-03,TikTok,Positive,Jakarta,762,Carousel,@tastebuds.id | NubiCha,Behind the Scenes
2024-04-01,Instagram,Neutral,Makassar,17418,Carousel,@genzfoodie | NubiCha,Collab
2024-04-30,TikTok,Positive,Medan,8955,Video,@genzfoodie | NubiCha,Product Launch
2024-04-25,YouTube,Negative,Surabaya,14243,Image,@drinkculture | NubiCha,Behind the Scenes
2024-04-08,TikTok,Neutral,Denpasar,12791,Image,@kulinerhits | NubiCha,Collab
2024-04-11,TikTok,Positive,Makassar,10302,Video,@drinkculture | NubiCha,Collab
2024-04-16,YouTube,Neutral,Jakarta,11123,Image,@kulinerhits | NubiCha,Collab
2024-04-29,X/Twitter,Positive,Jakarta,18298,Text,@genzfoodie | NubiCha,Review
2024-04-15,TikTok,Positive,Denpasar,3087,Video,@snackattack | NubiCha,Collab
2024-04-15,Instagram,Positive,Surabaya,8227,Image,@genzfoodie | NubiCha,Review
2024-04-11,TikTok,Negative,Surabaya,19283,Image,@kulinerhits | NubiCha,Collab
2024-04-01,TikTok,Neutral,Medan,2149,Video,@genzfoodie | NubiCha,Behind the Scenes
2024-04-01,YouTube,Positive,Jakarta,16201,Image,@tastebuds.id | NubiCha,Review
2024-04-01,TikTok,Neutral,Makassar,17905,Text,@drinkculture | NubiCha,Product Launch
2024-04-09,Instagram,Positive,Jakarta,1659,Video,@snackattack | NubiCha,Collab
2024-05-01,X/Twitter,Positive,Bandung,8933,Carousel,@genzfoodie | NubiCha,Collab
2024-04-29,X/Twitter,Positive,Jakarta,13700,Image,@kulinerhits | NubiCha,Promo
2024-04-06,Instagram,Positive,Yogyakarta,5396,Image,@drinkculture | NubiCha,Behind the Scenes
